# verdadeiro, estimado, distancia, estimulo
-90, -59.9549, -0.0149254, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-90.wav
-15, -37.7594, -0.0119403, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_-15.wav
-45, -12.5865, -0.0119403, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_-45.wav
30, 42.3609, -0.0149254, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_30.wav
-75, -57.7895, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-75.wav
-60, -38.0301, -0.0139303, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_-60.wav
90, 46.1504, -0.0129353, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_90.wav
-45, -44.797, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-45.wav
-15, -16.6466, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-15.wav
15, 41.8195, -0.0149254, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_15.wav
-90, -57.7895, -0.0119403, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-90.wav
15, 38.3008, -0.0139303, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_15.wav
60, 52.3759, -0.0129353, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_60.wav
45, 28.8271, -0.0129353, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_45.wav
-60, -59.4135, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
30, 41.8195, -0.0129353, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_30.wav
75, 49.9398, -0.0139303, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_75.wav
15, 18.812, -0.0109453, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_15.wav
75, 14.2105, -0.0139303, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_75.wav
