# verdadeiro, estimado, distancia,,,,,,,,,,,,,
60,"-62,6267","-0,000992063",,,,,,,,,,,,,
-50,"-89,7235","0,196429",,,,,,,,,,,,,
50,"31,3825","0,298611",,,,,,,,,,,,,
-10,"-9,53917","0,297619",,,,,,,,,,,,,
80,"83,9171","0,509921",,,,,,,,,,,,,
40,"26,682","0,699405",,,,,,,,,,,,,  sd
-10,"-13,4101","0,284722",,,,,,,,,,,,,
70,"92,4885","0,600198",,,,,,,,,,,,,
0,"-9,53917","0,600198",,,,,,,,,,,,,
70,"86,9585","0,587302",,,,,,,,,,,,,
70,"89,7235","0,790675",,,,,,,,,,,,,
80,90,"0,780754",,,,,,,,,,,,,
20,"43,5484","0,892857",,,,,,,,,,,,,
80,"94,977","0,576389",,,,,,,,,,,,,
-40,"-62,9032","0,917659",,,,,,,,,,,,,
-70,"-74,2396","0,69246",,,,,,,,,,,,,
-10,"-13,9631","0,380952",,,,,,,,,,,,,
-60,"-64,2857","0,707341",,,,,,,,,,,,,
-30,"-38,5714","0,597222",,,,,,,,,,,,,
20,"41,8894","0,489087",,,,,,,,,,,,,
-60,"-85,2995","0,697421",,,,,,,,,,,,,
10,"36,0829","0,813492",,,,,,,,,,,,,
30,"70,6452","0,698413",,,,,,,,,,,,,
-40,"-72,3041","0,801587",,,,,,,,,,,,,
50,"91,3825","0,478175",,,,,,,,,,,,,
-50,"-76,7281","0,397817",,,,,,,,,,,,,
10,"40,7834","0,69246",,,,,,,,,,,,,
60,"93,0415","0,411706",,,,,,,,,,,,,
-10,"-66,2212","0,204365",,,,,,,,,,,,,
60,"86,9585","0,530754",,,,,,,,,,,,,
80,"94,7005","0,729167",,,,,,,,,,,,,
-20,"-64,2857","0,517857",,,,,,,,,,,,,
40,"80,3226","0,729167",,,,,,,,,,,,,
-60,"-82,5346","0,529762",,,,,,,,,,,,,
-30,"-39,6774","0,3125",,,,,,,,,,,,,
-80,-90,"0,415675",,,,,,,,,,,,,
-50,"-86,129","0,414683",,,,,,,,,,,,,
30,"81,4286","0,630952",,,,,,,,,,,,,
70,"81,4286","0,838294",,,,,,,,,,,,,
-80,"-89,1705","0,935516",,,,,,,,,,,,,
20,"58,2028","0,835317",,,,,,,,,,,,,
60,"95,8065","0,934524",,,,,,,,,,,,,
30,"39,9539","0,842262",,,,,,,,,,,,,
-20,"-38,0184","0,739087",,,,,,,,,,,,,
-40,"-61,5207","0,845238",,,,,,,,,,,,,
-40,"-65,1152","0,728175",,,,,,,,,,,,,
80,"106,59","0,420635",,,,,,,,,,,,,
-40,"-84,7465","0,327381",,,,,,,,,,,,,
-10,"4,00922","0,636905",,,,,,,,,,,,,
60,"96,3594","0,322421",,,,,,,,,,,,,
-30,"-63,7327","0,630952",,,,,,,,,,,,,
-80,-90,"0,219246",,,,,,,,,,,,,
-20,"-7,88018","0,422619",,,,,,,,,,,,,
-30,"-55,9908","0,638889",,,,,,,,,,,,,
-70,-90,"0,209325",,,,,,,,,,,,,
10,"32,212","0,427579",,,,,,,,,,,,,
50,"78,1106","0,428571",,,,,,,,,,,,,
-20,"-12,8571","0,952381",,,,,,,,,,,,,
-70,"-86,129","0,534722",,,,,,,,,,,,,
40,"98,8479","0,842262",,,,,,,,,,,,,
-30,"-64,2857","0,718254",,,,,,,,,,,,,
-60,"-89,447","0,84623",,,,,,,,,,,,,
0,"29,7235","0,727183",,,,,,,,,,,,,
-70,"-87,235","0,524802",,,,,,,,,,,,,
0,"8,98618","0,833333",,,,,,,,,,,,,
20,"71,4747","0,631944",,,,,,,,,,,,,
70,"105,207","0,512897",,,,,,,,,,,,,
-50,"-73,6866","0,625992",,,,,,,,,,,,,
40,"66,7742","0,826389",,,,,,,,,,,,,
30,"30,8295",1,,,,,,,,,,,,,
0,"-6,77419","0,827381",,,,,,,,,,,,,
10,"12,0276","0,938492",,,,,,,,,,,,,
-80,-90,"0,740079",,,,,,,,,,,,,
-70,-90,"0,833333",,,,,,,,,,,,,
-20,"4,28571","0,93254",,,,,,,,,,,,,
50,"89,1705","0,722222",,,,,,,,,,,,,
10,"31,3825","0,843254",,,,,,,,,,,,,
20,"17,5576","0,853175",,,,,,,,,,,,,
-80,-90,"0,634921",,,,,,,,,,,,,
-60,-90,"0,739087",,,,,,,,,,,,,
50,"96,6359","0,229167",,,,,,,,,,,,,
0,"2,90323","0,845238",,,,,,,,,,,,,
30,"47,6959","0,848214",,,,,,,,,,,,,
40,"75,8986","0,990079",,,,,,,,,,,,,
-50,"-89,1705","0,945437",,,,,,,,,,,,,
