-50, -63.22314049586777
-70, -95.9504132231405
40, 49.46280991735537
70, 93.71900826446281
-20, -15.247933884297524
50, 66.5702479338843
30, 36.074380165289256
-80, -82.1900826446281
-50, -58.01652892561984
60, 93.71900826446281
20, 37.19008264462809
-30, -37.561983471074385
-70, -78.47107438016529
-80, -90.0
-40, -56.15702479338843
70, 88.14049586776858
20, 29.752066115702476
-10, -1.1157024793388501
0, 15.24793388429751
10, 14.504132231404952
-40, -39.421487603305785
30, 23.429752066115697
-30, -33.47107438016529
-60, -72.52066115702479
60, 83.30578512396693
10, 20.826446280991732
-20, -20.082644628099175
40, 59.50413223140495
-60, -51.32231404958678
0, 11.900826446280988
50, 56.157024793388416
-10, -4.462809917355372
