# verdadeiro, estimado, distancia, estimulo
-20, -104.451, 0.634122, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_-20.wav
-40, -63.1268, 0.634122, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-40.wav
60, 41.3239, 0.37574, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_60.wav
10, 21.8028, 0.563116, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_10.wav
-50, -18.7606, 0.589744, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-50.wav
-40, -57.2958, 0.985207, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-40.wav
80, 52.4789, 0.608481, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_80.wav
-70, -85.9437, 0.500986, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-70.wav
0, -29.4085, 0.54142, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_0.wav
70, 55.5211, 0.357988, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_70.wav
10, -20.5352, 0.612426, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_10.wav
-20, -84.169, 0.81854, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-20.wav
-50, -87.7183, 0.0108481, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-50.wav
-30, -82.1408, 0.315582, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_-30.wav
20, 35.2394, 0.43787, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_20.wav
-40, -57.2958, 0.542406, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-40.wav
-80, -87.7183, 0.420118, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-80.wav
70, 46.3944, 0.566075, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_70.wav
-70, -108, 0.600592, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-70.wav
-20, -18, 0.654832, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-20.wav
-40, -95.0704, 0.605523, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-40.wav
-50, -78.5915, 0.606509, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-50.wav
