# verdadeiro, estimado, estimulo, filtro
-60, -40.6743, sintetico_ITD-480_ILDzero_-60.wav, None
30, 10.4591, sintetico_ITD240_ILDzero_30.wav, None
0, -7.10187, sintetico_ITD0_ILDzero_0.wav, None
30, 11.4921, sintetico_ITD240_ILDzero_30.wav, None
90, 43.7733, sintetico_ITD720_ILDzero_90.wav, None
-15, 27.5036, sintetico_ITD-120_ILDzero_-15.wav, None
-30, -31.3773, sintetico_ITD-240_ILDzero_-30.wav, None
-75, -48.9383, sintetico_ITD-600_ILDzero_-75.wav, None
45, 32.9268, sintetico_ITD360_ILDzero_45.wav, None
-75, -45.3228, sintetico_ITD-600_ILDzero_-75.wav, None
60, 49.1966, sintetico_ITD480_ILDzero_60.wav, None
30, 32.6686, sintetico_ITD240_ILDzero_30.wav, None
75, 57.2023, sintetico_ITD600_ILDzero_75.wav, None
-75, -36.2841, sintetico_ITD-600_ILDzero_-75.wav, None
-45, -23.8881, sintetico_ITD-360_ILDzero_-45.wav, None
-15, -9.16786, sintetico_ITD-120_ILDzero_-15.wav, None
45, 30.8608, sintetico_ITD360_ILDzero_45.wav, None
90, 54.3615, sintetico_ITD720_ILDzero_90.wav, None
30, 38.3501, sintetico_ITD240_ILDzero_30.wav, None
45, 45.8393, sintetico_ITD360_ILDzero_45.wav, None
-45, -34.2181, sintetico_ITD-360_ILDzero_-45.wav, None
-30, -25.6958, sintetico_ITD-240_ILDzero_-30.wav, None
-60, -52.2956, sintetico_ITD-480_ILDzero_-60.wav, None
75, 30.8608, sintetico_ITD600_ILDzero_75.wav, None
0, -0.129125, sintetico_ITD0_ILDzero_0.wav, None
75, 38.0918, sintetico_ITD600_ILDzero_75.wav, None
60, 38.6083, sintetico_ITD480_ILDzero_60.wav, None
75, 58.7518, sintetico_ITD600_ILDzero_75.wav, None
-15, 20.5308, sintetico_ITD-120_ILDzero_-15.wav, None
0, 36.0258, sintetico_ITD0_ILDzero_0.wav, None
-45, -40.6743, sintetico_ITD-360_ILDzero_-45.wav, None
-90, -60.043, sintetico_ITD-720_ILDzero_-90.wav, None
-75, -51.5208, sintetico_ITD-600_ILDzero_-75.wav, None
30, 30.0861, sintetico_ITD240_ILDzero_30.wav, None
-30, -30.6026, sintetico_ITD-240_ILDzero_-30.wav, None
0, -2.19512, sintetico_ITD0_ILDzero_0.wav, None
-15, -14.3329, sintetico_ITD-120_ILDzero_-15.wav, None
30, 34.7346, sintetico_ITD240_ILDzero_30.wav, None
-15, 37.8336, sintetico_ITD-120_ILDzero_-15.wav, None
-75, -36.5423, sintetico_ITD-600_ILDzero_-75.wav, None
-30, -6.32712, sintetico_ITD-240_ILDzero_-30.wav, None
75, 32.4103, sintetico_ITD600_ILDzero_75.wav, None
-60, -34.7346, sintetico_ITD-480_ILDzero_-60.wav, None
-30, -25.9541, sintetico_ITD-240_ILDzero_-30.wav, None
15, 22.8551, sintetico_ITD120_ILDzero_15.wav, None
30, 29.3113, sintetico_ITD240_ILDzero_30.wav, None
-60, -26.4706, sintetico_ITD-480_ILDzero_-60.wav, None
-75, -47.6471, sintetico_ITD-600_ILDzero_-75.wav, None
-15, -14.3329, sintetico_ITD-120_ILDzero_-15.wav, None
90, 49.7131, sintetico_ITD720_ILDzero_90.wav, None
-60, -40.6743, sintetico_ITD-480_ILDzero_-60.wav, None
-15, -16.1406, sintetico_ITD-120_ILDzero_-15.wav, None
75, 37.0588, sintetico_ITD600_ILDzero_75.wav, None
90, 52.0373, sintetico_ITD720_ILDzero_90.wav, None
45, 39.8996, sintetico_ITD360_ILDzero_45.wav, None
30, 29.0531, sintetico_ITD240_ILDzero_30.wav, None
15, 22.3386, sintetico_ITD120_ILDzero_15.wav, None
0, 7.36011, sintetico_ITD0_ILDzero_0.wav, None
-90, -37.0588, sintetico_ITD-720_ILDzero_-90.wav, None
