# verdadeiro, estimado, estimulo, filtro
-90, -64.9138, sintetico_ITD-720_ILDzero_-90.wav, None
45, 47.8448, sintetico_ITD360_ILDzero_45.wav, None
-75, -64.1379, sintetico_ITD-600_ILDzero_-75.wav, None
90, 48.8793, sintetico_ITD720_ILDzero_90.wav, None
-60, -56.3793, sintetico_ITD-480_ILDzero_-60.wav, None
30, 1.03448, sintetico_ITD240_ILDzero_30.wav, None
0, -36.9828, sintetico_ITD0_ILDzero_0.wav, None
15, -12.1552, sintetico_ITD120_ILDzero_15.wav, None
-75, -63.1034, sintetico_ITD-600_ILDzero_-75.wav, None
-30, -32.3276, sintetico_ITD-240_ILDzero_-30.wav, None
-45, -53.7931, sintetico_ITD-360_ILDzero_-45.wav, None
30, 30.2586, sintetico_ITD240_ILDzero_30.wav, None
60, 52.5, sintetico_ITD480_ILDzero_60.wav, None
30, 54.8276, sintetico_ITD240_ILDzero_30.wav, None
45, 73.4483, sintetico_ITD360_ILDzero_45.wav, None
-15, -5.94828, sintetico_ITD-120_ILDzero_-15.wav, None
30, 40.3448, sintetico_ITD240_ILDzero_30.wav, None
-30, -46.2931, sintetico_ITD-240_ILDzero_-30.wav, None
30, 30.5172, sintetico_ITD240_ILDzero_30.wav, None
75, 69.0517, sintetico_ITD600_ILDzero_75.wav, None
-60, -55.6034, sintetico_ITD-480_ILDzero_-60.wav, None
90, 64.6552, sintetico_ITD720_ILDzero_90.wav, None
75, 77.069, sintetico_ITD600_ILDzero_75.wav, None
0, 6.46552, sintetico_ITD0_ILDzero_0.wav, None
-60, -45, sintetico_ITD-480_ILDzero_-60.wav, None
0, 0.258621, sintetico_ITD0_ILDzero_0.wav, None
90, 61.8103, sintetico_ITD720_ILDzero_90.wav, None
-75, -47.069, sintetico_ITD-600_ILDzero_-75.wav, None
0, -3.62069, sintetico_ITD0_ILDzero_0.wav, None
-45, -57.6724, sintetico_ITD-360_ILDzero_-45.wav, None
45, 24.0517, sintetico_ITD360_ILDzero_45.wav, None
60, 49.1379, sintetico_ITD480_ILDzero_60.wav, None
90, 70.6034, sintetico_ITD720_ILDzero_90.wav, None
-30, -31.2931, sintetico_ITD-240_ILDzero_-30.wav, None
75, 36.7241, sintetico_ITD600_ILDzero_75.wav, None
90, 69.3103, sintetico_ITD720_ILDzero_90.wav, None
60, 78.8793, sintetico_ITD480_ILDzero_60.wav, None
-75, -56.8966, sintetico_ITD-600_ILDzero_-75.wav, None
75, 61.0345, sintetico_ITD600_ILDzero_75.wav, None
