# verdadeiro, estimado, estimulo, filtro
-90, -50.3741, sintetico_ITD-720_ILDzero_-90.wav, None
-45, -35.8705, sintetico_ITD-360_ILDzero_-45.wav, None
45, 14.1151, sintetico_ITD360_ILDzero_45.wav, None
-45, -19.554, sintetico_ITD-360_ILDzero_-45.wav, None
-30, -19.036, sintetico_ITD-240_ILDzero_-30.wav, None
-60, -41.5683, sintetico_ITD-480_ILDzero_-60.wav, None
-75, -46.4892, sintetico_ITD-600_ILDzero_-75.wav, None
-90, -72.1295, sintetico_ITD-720_ILDzero_-90.wav, None
-75, -80.1583, sintetico_ITD-600_ILDzero_-75.wav, None
-30, -53.223, sintetico_ITD-240_ILDzero_-30.wav, None
45, 29.6547, sintetico_ITD360_ILDzero_45.wav, None
60, 62.5468, sintetico_ITD480_ILDzero_60.wav, None
-90, -77.5683, sintetico_ITD-720_ILDzero_-90.wav, None
45, 48.0432, sintetico_ITD360_ILDzero_45.wav, None
30, 33.0216, sintetico_ITD240_ILDzero_30.wav, None
-60, -55.295, sintetico_ITD-480_ILDzero_-60.wav, None
90, 89.482, sintetico_ITD720_ILDzero_90.wav, None
-90, -60.7338, sintetico_ITD-720_ILDzero_-90.wav, None
30, 7.1223, sintetico_ITD240_ILDzero_30.wav, None
15, -0.647482, sintetico_ITD120_ILDzero_15.wav, None
-15, -22.6619, sintetico_ITD-120_ILDzero_-15.wav, None
-60, -55.8129, sintetico_ITD-480_ILDzero_-60.wav, None
-15, -26.5468, sintetico_ITD-120_ILDzero_-15.wav, None
30, 33.2806, sintetico_ITD240_ILDzero_30.wav, None
45, 69.2806, sintetico_ITD360_ILDzero_45.wav, None
15, 8.41727, sintetico_ITD120_ILDzero_15.wav, None
90, 90, sintetico_ITD720_ILDzero_90.wav, None
45, 54.259, sintetico_ITD360_ILDzero_45.wav, None
75, 87.9281, sintetico_ITD600_ILDzero_75.wav, None
90, 89.482, sintetico_ITD720_ILDzero_90.wav, None
60, 67.4676, sintetico_ITD480_ILDzero_60.wav, None
75, 67.7266, sintetico_ITD600_ILDzero_75.wav, None
15, 19.036, sintetico_ITD120_ILDzero_15.wav, None
-30, -22.4029, sintetico_ITD-240_ILDzero_-30.wav, None
