# verdadeiro, estimado, distancia, estimulo
-70, 42.645, 0.320274, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
80, 78.5431, 0.255632, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_80.wav
70, 78.2885, 0.232125, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_70.wav
80, 78.5431, 0.27522, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_80.wav
-70, 8.78359, 0.514202, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
40, 83.6351, 0.412341, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_40.wav
-30, -64.7949, 0.394711, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-30.wav
70, 77.7793, 0.580803, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_70.wav
-40, -65.5587, 0.766895, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-40.wav
-60, -85.6719, 0.338883, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-60.wav
-80, -84.9081, 0.338883, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-80.wav
-60, -85.6719, 0.338883, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-60.wav
20, 72.1782, 0.612145, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_20.wav
-70, -77.5248, 0.749265, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-70.wav
-80, -69.8868, 0.669931, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-80.wav
60, 82.1075, 0.717924, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_60.wav
80, 82.3621, 0.714985, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_80.wav
-60, 48.5007, 0.475024, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-60.wav
60, 73.9604, 0.43095, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_60.wav
-40, -69.6322, 0.399608, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-40.wav
-30, 7.51061, 0.678746, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-30.wav
10, 80.8345, 0.528893, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_10.wav
-30, -8.529, 0.532811, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-30.wav
70, 74.7242, 0.37904, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_70.wav
-70, 24.8232, 0.472086, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
60, 81.3437, 0.418217, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_60.wav
-50, -67.0863, 0.343781, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-50.wav
-20, 20.7496, 0.322233, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-20.wav
10, 79.3069, 0.418217, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_10.wav
-60, 68.6139, 0.508325, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-60.wav
80, 85.6719, 0.369246, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_80.wav
30, 72.6874, 0.653281, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_30.wav
50, 72.942, 0.662096, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_50.wav
50, 80.3253, 0.58668, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_50.wav
-80, -73.9604, 0.444662, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-80.wav
-30, 4.20085, 0.25857, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-30.wav
-70, -76.761, 0.165524, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-70.wav
-40, -57.9208, 0.0910872, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-40.wav
20, 84.6535, 0.188051, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_20.wav
-50, -0.381895, 0.109696, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-50.wav
-50, -33.2249, 0.349657, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-50.wav
20, 82.8713, 0.36239, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_20.wav
-20, 12.0934, 0.237023, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-20.wav
40, 78.0339, 0.27522, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_40.wav
-10, -58.6846, 0.408423, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-10.wav
80, 91.5276, 0.218413, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_80.wav
-40, -0.127298, 0.105779, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-40.wav
80, 91.5276, 0.301665, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_80.wav
70, 3.18246, 0.398629, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_70.wav
-70, -71.669, 0.225269, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-70.wav
70, 83.3805, 0.484819, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_70.wav
-60, 68.8685, 0.0587659, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-60.wav
10, 11.075, 0.0959843, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_10.wav
0, 11.075, 0.0959843, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_0.wav
40, 25.0778, 0.144956, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_40.wav
-70, -64.0311, 0.265426, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-70.wav
-30, 5.47383, 0.231146, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-30.wav
20, 79.5615, 0.316357, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_20.wav
-30, -64.5403, 0.584721, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-30.wav
-80, -71.1598, 0.384917, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-80.wav
-40, -78.2885, 0.812929, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-40.wav
-70, -77.7793, 0.94809, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-70.wav
-10, 10.8204, 0.665034, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-10.wav
-20, -23.2956, 0.839373, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-20.wav
40, 64.2857, 0.635651, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_40.wav
-60, -73.9604, 0.394711, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-60.wav
-20, -59.9576, 0.680705, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-20.wav
-50, -65.0495, 0.628795, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-50.wav
-70, 24.314, 0.269344, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
