# verdadeiro, estimado, distancia, estimulo
-60, -88.6415, 0.732283, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-60.wav
60, 73.4717, 0.831693, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_60.wav
-30, 27.283, 0.86811, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_-30.wav
90, 80.0377, 0.766732, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_90.wav
-30, 7.35849, 0.353346, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-30.wav
-30, 37.2453, 0.153543, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_-30.wav
-30, 19.8113, 0.154528, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_-30.wav
90, 87.7358, 0.808071, Sandro_azim_multiplostons_01nov2023_itld_rev_multiplostons_90.wav
45, 68.717, 0.809055, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_45.wav
-15, 18.6792, 1, Sandro_azim_multiplostons_01nov2023_itld_rev_multiplostons_-15.wav
60, 68.0377, 0.860236, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_60.wav
45, 55.1321, 1, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_45.wav
75, 82.3019, 0.742126, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_75.wav
75, 73.4717, 0.856299, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_75.wav
-60, -58.9811, 0.875, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-60.wav
60, 73.9245, 0.779528, Sandro_azim_multiplostons_01nov2023_recording_multiplostons_60.wav
-90, 21.1698, -0.00393701, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_-90.wav
-60, -44.0377, 0.875, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-60.wav
-75, -86.8302, 0.685039, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_-75.wav
-45, 2.60377, 0.898622, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_-45.wav
30, 56.0377, 0.817913, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_30.wav
-90, -43.8113, 0.818898, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-90.wav
0, 6.45283, 0.844488, Sandro_azim_multiplostons_01nov2023_itld_rev_multiplostons_0.wav
-60, -32.717, 1, Sandro_azim_multiplostons_01nov2023_itld_rev_multiplostons_-60.wav
15, 43.3585, 0.959646, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_15.wav
60, 66.4528, 0.738189, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_60.wav
-75, 6.45283, -0.00393701, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_-75.wav
-45, -14.1509, 0.722441, Sandro_azim_multiplostons_01nov2023_itld_rev_multiplostons_-45.wav
-60, -73.9245, 0.832677, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
60, 68.717, 0.898622, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_60.wav
75, 78, 0.895669, Sandro_azim_multiplostons_01nov2023_itld_rev_multiplostons_75.wav
-60, -58.9811, 0.815945, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
-15, 26.3774, 0.905512, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-15.wav
-30, -9.16981, 0.812992, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-30.wav
